"domain_code","domain","item_code","item","description","hs_code","hs07_code","hs12_code","cpc_code"
"QV","Production: Value of Agricultural Production",882,"Milk, whole fresh cow","Production data refer to raw milk containing all its constituents. Trade data normally cover milk from any animal, and refer to milk that is not concentrated, pasteurized, sterilized or other-wise preserved, homogenized or peptonized.",NA,"040120, 040130","040120, 040140, 040150","02211"
"QV","Production: Value of Agricultural Production",1020,"Milk, whole fresh goat","See 882 and derived products.",NA,"040120, 040130","040120, 040140, 040150","02292"
"QV","Production: Value of Agricultural Production",982,"Milk, whole fresh sheep","See 882 and derived products.",NA,"040120, 040130","040120, 040140, 040150","02291"
"QV","Production: Value of Agricultural Production",948,"Offals, edible, buffaloes","Fresh, chilled or frozen.",NA,"020610, 020621, 020622, 020629, 050400","020610, 020621, 020622, 020629, 050400","21152"
"QV","Production: Value of Agricultural Production",1128,"Offals, edible, camels","Fresh, chilled or frozen.",NA,"020890","020860","21159.02"
"QV","Production: Value of Agricultural Production",868,"Offals, edible, cattle","Fresh, chilled or frozen.",NA,"020610, 020621, 020622, 020629, 050400","020610, 020621, 020622, 020629, 050400","21151"
"QV","Production: Value of Agricultural Production",1018,"Offals, edible, goats","Fresh, chilled or frozen.",NA,"020680, 020690, 050400","020680, 020690, 050400","21156"
"QV","Production: Value of Agricultural Production",1098,"Offals, horses","Fresh, chilled or frozen.",NA,"020680, 020690","020680, 020690","21159.01"
"QV","Production: Value of Agricultural Production",1036,"Offals, pigs, edible","Fresh, chilled or frozen.",NA,"020630, 020641, 020649, 050400","020630, 020641, 020649, 050400","21153"
"QV","Production: Value of Agricultural Production",978,"Offals, sheep,edible","Fresh, chilled or frozen.",NA,"020680, 020690, 050400","020680, 020690, 050400","21155"
